Serial Number,Title,Organisation,Closing Date,Link
38,[Procurement of spares of Nivo Controls make Level Switch and],NTPC Limited||Corporate Centre||USSC||CPG-3,16-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=STiik7ODmxyMGsPBTeNQgkA%3D%3D
39,"[Biennial Maintenance Service Contract of Perkin Elmer Instrument, MakeClarus 590 GC with Headspace at NTPC Barh]",NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S3ZV%2BoW%2FtJ5Ht7RPYXGshXg%3D%3D
40,[External painting of Cooling towers of NTPC Barh STPP.],NTPC Limited||Corporate Centre||USSC||CPG-1,29-Sep-2025 05:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=So8CbaMw7tHUc%2F7Azm2sWOQ%3D%3D
41,[Supply and Installation of artificial aids from ALIMCO for DivyangsDisabled people of near by villages of NTPC Unchahar for FY 2025],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCi48DhTUECEUlt%2BdETEr7g%3D%3D
42,[Procurement of QES Components for Boiler at NTPC Gadarwara],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Ss5T5GnEFxS7t9n7qIDNctQ%3D%3D
43,[FABRICATION AND MAINTENANCE OF STEEL],NTPC Limited||Western Region - II Headquarter||Gadarwara Super Thermal Power Project,22-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SPn5Kp1jDfeE%2F1m0OOEaYHg%3D%3D
44,[IN-SITU INSPECTION OF LOW PRESSURE REHEATER (LPRH) COIL TUBES],NTPC Limited||Eastern Region - I Headquarter||Barh Super Thermal Power Project,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SBTUz2HG32T5EJbzGeKCuIg%3D%3D
45,[PROCUREMENT OF TAC SPARES FOR AHD FOR NTPC BONGAIGAON],NTPC Limited||Corporate Centre||USSC||CPG-3,12-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=STvcZPF9l%2FhH3sb2eFex%2BpQ%3D%3D
46,[RLNG LT-240],NTPC Limited||Corporate Centre||Corporate Contracts,18-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5I9Ktc79%2FDBff6UP9HWMBg%3D%3D
47,[Livelihood enhancement through apiary in the peripheral villages of NTPC],NTPC Limited||Eastern Region - II Headquarter||Talcher Thermal Power Station,18-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SQwCds3TfwjJv1feQ3b3HjA%3D%3D
