Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
35,2025_PHEO_118600_2,"[Procurement of DI pipe for the work Construction of intake well, WTP and laying of Raw water rising main in connection with the work Augmentation of water supply to Tusura town]",25-Sep-2025 01:30 PM,PHEO||PH Circle Bhawanipatna||PH Division Balangir,09-Oct-2025 05:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SD%2BhU732lgzJFEv9S%2F3dleQ%3D%3D
36,2025_RMC_118260_3,"[Construction of Road and Drain near Bidyut Colony slum at Balughat under RMC, Rourkela, Ward No. 06]",19-Sep-2025 06:00 PM,Rourkela Municipal Corporation,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVxJrhDbMiaw%2FYMNREbP8uA%3D%3D
37,2025_CERWI_118221_1,[42/6342-S/R to R.I.Office Building at Kupari for 2025-26],19-Sep-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPlMB3s4YJDQHihf8HK1wsA%3D%3D
38,2025_CEMIB_118667_2,[Construction of Gourenpada (Rohidaspada) Check dam over Tamga nalla near village Kanakjore in Tangarpali Block of Sundargarh District under MATY Scheme 2025-26.],26-Sep-2025 10:00 AM,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",10-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8qIN9kLB%2BBE65ujmvFJ4MQ%3D%3D
39,2025_OSAMB_118180_1,[Construction of  Infrastructure Developmental Work  at  Bharuamunda  PPC of RMC Khariar Road],18-Sep-2025 02:00 PM,Odisha State Agricultural Marketing Board||RMC Khariarroad,06-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SypWk6AXcGb2Et7KovobgAQ%3D%3D
40,2025_CERWI_118169_19,[Improvement to Panibhandar - Patanasahi - Bhalubazar Road  in the Dist. of Puri under MMSY-Improvement to Existing RD road  for the year 2024-25],18-Sep-2025 02:00 PM,CE RW I||RWCIRCLE-BHUBANESWAR,16-Oct-2025 05:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SogGF7uUiPHucI90iYpaJDA%3D%3D
41,2025_OSPHW_117944_20,"[Construction Of 06 Nos. E Type Qtrs  At Parjang PS, Dhenkanal ]",12-Sep-2025 06:55 PM,Orissa State Police Housing and Welfare Corporation Ltd,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STKOCsHrTZ2q2TmlM%2BT20BA%3D%3D
42,2025_OSPHW_118639_1,"[Constn. of 120 Men Barrack, OSAP 3rd Bn., Koraput]",26-Sep-2025 06:55 PM,Orissa State Police Housing and Welfare Corporation Ltd,18-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMmES5wlrH%2Fv3o6T1DW5aFQ%3D%3D
43,2025_STSCD_118691_13,[Construction of Staff Quarters at Matiabeda under Saraskana Block],26-Sep-2025 01:00 PM,ST and  SC Development Deptt||ITDA Baripada,22-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfuA67WunnGPYBXTHbjXwQg%3D%3D
44,2025_OSCSC_118637_1,[SELECTION OF PADDY AND CMR TRANSPORT CONTRACTOR FOR THE KMS 2025-26 IN BARPALI BLOCK UNDER BARGARH DISTRICT],25-Sep-2025 05:00 PM,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Baragarh,16-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQEoN4gWc3rOPZB%2Ff9CxDtw%3D%3D
45,2025_CEMIB_118680_3,[Construction of Anikat Check Dam near village Biragada of Danekbadi GP in Daringibadi Block of Kandhamal district.],26-Sep-2025 10:00 AM,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Kandhamal",15-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sbk8sAntm2nbgt73euG3wZw%3D%3D
