PageNumber,Error
177,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=177"" already visited"
152,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=152"" already visited"
47,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=47"" already visited"
193,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=193"" already visited"
227,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=227"" already visited"
134,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=134"" already visited"
199,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=199"" already visited"
213,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=213"" already visited"
119,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=119"" already visited"
12,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=12"" already visited"
170,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=170"" already visited"
9,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=9"" already visited"
161,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=161"" already visited"
31,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=31"" already visited"
