Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
31,2025_DLG_150384_1,3,[DEVELOPMENT OF INTEGRATED SOLID WASTE MANAGEMENT  ],22-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Bathinda||Nagar Panchayat - Bhai Rupa,13-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6Y93Ztq%2F37TM7soT3NC87Q%3D%3D
32,2025_DLG_150407_1,3,[DEVELOPMENT OF INTEGRATED SOLID WASTE MANAGEMENT  ],22-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Bathinda||Nagar Panchayat - Lehra Mohabbat,13-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0eCPpSXn4ZckvbPKuVSPYA%3D%3D
33,2025_DLG_150409_1,3,[Mechanized Road Sweeping including Operation and Maintenance on outsource basis For Main / Internal Roads],22-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Bathinda||Nagar Panchayat - Lehra Mohabbat,13-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgJ0P3tmjqaADK5PknFzZwQ%3D%3D
34,2025_DTCA_150420_1,3,"[Artistic Painting works and Setting up of office including Design and other allied works, at Virasat -e -Khalsa Sri Anandpur Sahib, District -Rupnagar, Punjab]",22-Sep-2025 09:00 AM,Department of Tourism and Cultural Affairs||Anandpur Sahib Foundation,03-Oct-2025 02:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SihDkRuU6Skr64bHrWkA3HQ%3D%3D
35,2025_DLG_150398_1,3,[DEVELOPMENT OF INTEGRATED SOLID WASTE MANAGEMENT  ],22-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Bathinda||Nagar Panchayat - Maluka,13-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfGpomIC%2BftcMN1EAvfGd%2Bg%3D%3D
36,2025_DLG_150385_1,3,[Mechanized Road Sweeping including Operation and Maintenance on outsource basis For Main / Internal Roads],22-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Bathinda||Nagar Panchayat - Bhai Rupa,13-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1tK02EYuXLrfXvdUfkmWUw%3D%3D
37,2025_DLG_150399_1,3,[Mechanized Road Sweeping including Operation and Maintenance on outsource basis For Main / Internal Roads],22-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Bathinda||Nagar Panchayat - Maluka,13-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sbg%2BaGyVTtbmfdYp8xjTeRQ%3D%3D
38,2025_WR_150401_7,3,"[ESTIMATE FOR INTERNAL CLEARANCE OF WEED, JALLA, DEELA, SARKANDA, JUNGLE BOOTI, DHORA, SILTS, ETC MANUALLY FROM INNER SECTIONS OF BUDHLADA 24524-115600, MINOR NO 2,3,4,5,6,7 and  MINOR NO. 8 OF BUDHLADA BRANCH]",20-Sep-2025 05:30 PM,Department of Water Resources||Department of Water Resources||Canal - Lehal Canal Div - Patiala,06-Oct-2025 01:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sn1naV12xYjsjaRGzJaaGtQ%3D%3D
39,2025_DLG_150400_2,3,"[Prov. and Installation of Hand bore tubewell PIG Market near Railway Workshop,G.T.Road,Ward No.63]",20-Sep-2025 05:05 PM,Department of Local Government||Director - Local Government||Municipal Corporation - Amritsar||Civil Engineering Department,06-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKEbrFlcO3jsnOedx5T9Xnw%3D%3D
40,2025_DLG_150400_1,3,[Prov. and Installation of Hand bore tubewell against failed tubewell at Ward No.27],20-Sep-2025 05:00 PM,Department of Local Government||Director - Local Government||Municipal Corporation - Amritsar||Civil Engineering Department,06-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLGQzaAxcTcrGEkZxDc9uZQ%3D%3D
