S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_PWD_268186_1,1,"Installation of precast jersey barrier and other misc. work on Panchkuian Road, Rani Jhansi Road and DB Gupta Road New Delhi dg 2024-25.",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S9Q2fg%2F24tHA3sOhX7WBPJw%3D%3D
2,2025_PWD_267945_1,1,"Replacement of C.C. Paver Blocks, damaged due to heavy industrial traffic in front of Gali no. 10, New Rohtak Road.",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=StlGW4cL6s7r9QhABsW0heg%3D%3D
3,2025_PWD_267942_1,1,"A/R and M/O various roads under sub divison-2, SRD-2, New Delhi during 2024-25. (SH Installation of New Grill at Central verge and repair of footpath, Central verge and misc. civil work on New Rohtak road (Ramswaroop Vidyarthi Marg to Kamal T-Point)",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SwlMWn875LPvK3I4rZkHaSw%3D%3D
4,2025_PWD_267803_1,1,"A/R and M/O various road under  Sub Division-2, SRD Project Division-2 , New Delhi, dg. 2024-25. (SH Desilting of Zakhira flyover service road and Gali No.10, New Rohtak Road).",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SbC6svrVOdBGhRfySUvgjDQ%3D%3D
5,2025_PWD_267642_1,1,"A/R and M/o to various roads under sub division -2 SRD project Division-2, PWD, New Delhi during 2024-25 (SH Painting of kerb stone/Central verge with Synthetic enamel paint on roads under sub divn.-2, SRD-2)",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SL3uq%2BRWbN7uq9ejfhOZV7g%3D%3D
6,2024_PWD_266039_1,1,"E.O.R to residential and non residential building of Fire Station at Rani Jhansi Road during 2024-25 . SH Renovation of quarter i/c, improvement for toilets and internal and external fitting for Fire Station building.",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S9mK5fyMURkjsFUjiMqjuwg%3D%3D
7,2024_PWD_265794_1,1,"A/R and M/O to various road under Sub Division-1, SRD Project Division-2, New Delhi, dg 2024-25. (SH Patch repair on various bituminous roads).",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SLr6FblisjkA6ekicxEz9ng%3D%3D
8,2024_PWD_265788_1,1,"A/R and M/O various roads under  Sub-Division-2, SRD Project Division-2, PWD, New Delhi during 2024-25.  (SH Patch repair of  various roads  under the jurisdiction of Sub Division-2).",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S4vUswWj65s3gqZSLvH2TDA%3D%3D
1,2025_PWD_268181_1,1,"RMO of Various Electrical and Mechanical Services (Internal and External) at Prison Complex, Mandoli, Delhi. ",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SezH9r113tzclwauso0SGqg%3D%3D
2,2025_PWD_268145_1,1,"R.M.O. Specialized  Electrical and Mechanical Services of Tis Hazari Court Complex, Delhi. (SH Servicing and operation and comprehensive, maintenance of WTAC/STAC/Cassette type/Tower type AC units and Water Coolers).",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SwQK7FZoH1j1jm0cPdtoeZg%3D%3D
