S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
2,2024_RDPRI_16819_1,1,deployement of heavy Vehicle  for Garbage Transport,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Prothrapur/Panch Samiti Prothrapur||Govindnagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Ss8XAerZGTIYHZVlaAd8j7A%3D%3D
3,2024_RDPRI_16745_1,1,COLLECTION and DISPOSAL of SEGREGATED DRY and HAZARDOUS WASTE,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Gandhinagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=StDskwUUdhO1H%2B0aeA%2B36iA%3D%3D
4,2024_RDPRI_16673_1,1,8-100/GPMG/AMC/2024-25/242,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Ferrargunj/Panch Samiti Ferrargunj||Mannarghat Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SjR0TKdFoKC2HQ%2FmLNFhK5A%3D%3D
5,2024_APWD_16916_1,1,Construction of toe wall cum drain near Nagamuthu house at Teylerabad to protect the rural road.  ,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Skrdt5qy2wE9RweXiBLNdQQ%3D%3D
6,2024_APWD_16888_1,1,"Repair and renovation of 04 Nos. Ty-II Qtr. No. 161 to 164 (D-S) by replacing of doors, windows and celling at Satellite Township Colony under SD-III, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPqHMrieyRyxI%2Fb57XxES3g%3D%3D
7,2024_APWD_16770_1,1,"Special repair of Type-V Qtr. No. NG-08 under SD-IV, CD-II, APWD, Prothrapur allotted to IPS Officer under Andaman and Nicobar Administration.  ",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Ssy6kW0Zw%2BzOGEf35bCRmeg%3D%3D
8,2024_APWD_16754_1,1,"Felling of dangerously standing trees around Residential Quarter at Chakkargaon under SD-IV, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SFpSqB0O6wzR7%2F6Ur69S3gg%3D%3D
9,2024_APWD_16527_1,1,"Felling and pruning of dangerously standing trees at Satellite Colony under CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SrYQlrrUkmqha7NALw9fJxA%3D%3D
10,2024_APWD_16474_1,1,"Annual Repair and Maintenance of Type-V quarter at Chakkargaon under SD-IV, CD II, APWD during 2023-24.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S7zBJ0PoUpfDEfnxT60Bw%2BQ%3D%3D
11,2024_APWD_16377_1,1,"Annual repair and maintenance of Type-IV and Type-V quarter at Chakkargaon Section-II under Sub-Division No-IV, CD-II, APWD, Prothrapur during the year 2024-25.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SucoHDyCm2yYAStHoliUQLQ%3D%3D
12,2024_APWD_16130_1,1,Replacement of existing damaged G.I pumping line of GPA quarters at Nayagaon.,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sp33xjS5e%2F18VU9W%2FT6Uq1g%3D%3D
13,2024_APWD_16104_1,1,"Repair and renovation of Type-IV Quarter from Qtr. No. 45  to 50 Block No. 9 under SD-IV, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sfp7tSaSiR3WfvCKfiVc6ag%3D%3D
