S.No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
4899,08-Sep-2025 10:00 AM,29-Sep-2025 10:00 AM,29-Sep-2025 11:00 AM,[Gram Gadaura se Dulara sampark marg ka anurakshan karya ka awasesh bhag],[914/zpm/nivida/2025-26 Date-06-09-2025][2025_UPPRD_1071937_5],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzecqiZWdu6GLshLWxrFatg%3D%3D,Panchayati Raj Department||Zila Panchayat Mahoba
4900,08-Sep-2025 10:00 AM,29-Sep-2025 05:00 PM,30-Sep-2025 12:30 PM,[NMY SHAHGANJ],[NIVIDA 1062/04 DATE 06.09.2025][2025_RKUMP_1071781_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVwVo535B3JLtT8%2FBjfYiTw%3D%3D,"Rajya Krishi Utpadan Mandi Parishad,UP||SE Zone-1||Deputy Director (E/M), Varanasi"
4481,09-Sep-2025 01:00 PM,30-Sep-2025 02:00 PM,30-Sep-2025 03:30 PM,[Construction work of balance work of drainage crossing at km.1.700 of Banchauri Rajwaha in district Siddharth nagar],[Tender Notic 02/SE/2025-26][2025_UPIDC_1071582_5],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8%2BOuVH2oC3jzu62UGcQIqQ%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti"
4482,09-Sep-2025 12:35 PM,18-Sep-2025 03:00 PM,18-Sep-2025 04:00 PM,[ 	Request for Proposal Operation and Maintenance of different Futsal Grounds located in Municipal Limits of Kanpur Municipal Corporation on Revenue Sharing Basis for a period of Five Years.],[91/EE/ENV/2025-26][2025_NNKAN_1064589_2],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuymiTelxW6ruVimaVxcpMA%3D%3D,"Kanpur Municipal Corporation, Kanpur, UP"
4483,09-Sep-2025 12:30 PM,18-Sep-2025 02:00 PM,18-Sep-2025 04:00 PM,[Construction of Balance Work at Navin Rajkiya Ashram Paddhati Vidyalaya Gram Sarvankheda Kanpur Dehat],[187/S.E/ET/Kanpur/2025-26 dt 09.09.25][2025_SCIDC_1072553_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxvNvgip06Uaszp8eLnAlzw%3D%3D,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur
4484,09-Sep-2025 12:30 PM,23-Sep-2025 04:30 PM,24-Sep-2025 01:30 PM,"[Construction of 821RM Boundrywall at Pt. Deendayal Upadhyay Govt. Model Inter College, Sabalgarh, Nazibabad, Bijnor]",[2651/M-18/776 dt. 08-09-2025][2025_UPCDS_1072543_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=So%2FTIlEp7hWSOPflA70EeKA%3D%3D,Construction and Design Services  UP Jal Nigam||C.G.M. (III) Lucknow||G.M. (01) Lucknow||Unit-18 Moradabad
4485,09-Sep-2025 12:25 PM,27-Sep-2025 05:00 PM,29-Sep-2025 03:00 PM,"[ETENDER FOR  CANTEEN AT ISBT, AGRA REGION]",[3967/CANTEEN/ISBT/AGRA/2025][2025_UPSRT_1072494_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpbEguH7AaPXk%2BpfrFlMFug%3D%3D,U.P. State Road Transport Corporation||Chief General Manager(Operations)
4486,09-Sep-2025 12:25 PM,27-Sep-2025 05:00 PM,29-Sep-2025 03:00 PM,"[ETENDER FOR PETHA GAZAK AT ISBT BUS STATION, AGRA REGION]",[3967/PETHAGAZAK/ISBT/AGRA/2025][2025_UPSRT_1072493_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEYEGvn8sd9FDq%2FvJGdRR5Q%3D%3D,U.P. State Road Transport Corporation||Chief General Manager(Operations)
4487,09-Sep-2025 12:15 PM,27-Sep-2025 05:00 PM,29-Sep-2025 03:00 PM,"[ETENDER FOR FOOD PLAZA AT BHUTESWAR BUS STATION, MATHURA, AGRA REGION]",[3967/FOODPLAZA/BHT/MTR/AGRA/25][2025_UPSRT_1072491_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S30SZLUOJXWX5Jt7Vtsleyg%3D%3D,U.P. State Road Transport Corporation||Chief General Manager(Operations)
4488,09-Sep-2025 12:15 PM,25-Sep-2025 01:00 PM,25-Sep-2025 02:00 PM,[BHAISALI BUS STATION PARKING TENDER MEERUT],[BHAISALI BUS STATION PARKING TENDER MEERUT][2025_UPSRT_1072442_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SwDunpJRhJsAC8UTZMSl12A%3D%3D,U.P. State Road Transport Corporation||Chief General Manager(Operations)
