Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
47,2025_PWD_47713_1,[Dergaon/MMPNA/3],26-Sep-2025 03:00 PM,Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,08-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SygtNinqPPo8OL48AsIp6Uw%3D%3D
48,2025_DMEAP_46548_1,[Procurement of Civil Works for new multi-purpose flood shelters at 1no location in Golaghat District of Assam under Assam Integrated River Basin Management Project AIRBMP],18-Aug-2025 11:00 AM,Assam State Disaster Management Authority- Externally Aided Project||Assam State Disaster Management Authority- World Bank Funded Tenders||Assam Integrated River Basin Management Programme,04-Oct-2025 12:45 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sks%2F0Y7mKajKYlDn3B1BX2Q%3D%3D
49,2025_PWHE_47054_1,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Dhemaji (ST)DTBD for i. Rawon Kumoliya Mishing High School ii. K.K. Patir High School iii. Naharbari Novodoya MES iv. J.N. Chille tribal MES],28-Aug-2025 02:00 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SQkpNqK9BN5o5s7rFMi6UUw%3D%3D
50,2025_PWRDW_47337_2,[Construction of Bridge in Sonitpur district i) Br. No. 2/1 on Bhotpara to 1 No. Surjyapur Road],08-Sep-2025 09:00 AM,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||Assam State Bridge Infrastructure Program,08-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9YKmU4OrECz1rE25grLzEw%3D%3D
51,2025_DoWR_47492_1,[Construction of New Embankment from Pub Kawoimari to Borchung including Dowel Bund from Dhing Gaon to Pub Kawoimari on the left bank of river kopilli.],12-Sep-2025 06:55 PM,Department of Water Resources||Chief Engineer - DoWR,07-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SilcBTwVRq8WbhJCxpfxsYQ%3D%3D
52,2025_HFWD_47240_1,[Group No 9],03-Sep-2025 02:00 PM,Health and Family Welfare Department||Assam Medical Services Corporation Limited,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOuhLo9%2Btu3iUGT6%2FNaQrNw%3D%3D
53,2025_PWD_47719_1,[ASOM_MALA_3.0_25_26_32 Improvement and  strengthening of Hallidayganj Mankachar Purakhasia Kalaichar Road from ch.0.00km (Hallidayganj) to ch.25.209 km (Sialtari) under Asom Mala 3.0 for the year 2025-26.],26-Sep-2025 04:00 PM,Public Works Roads Department,13-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaFce8uICdlrqPWsB%2FVUplw%3D%3D
54,2025_DMEAP_46701_1,[Procurement of Civil Works for Retrofitting Augmentation of 2 existing schools in Barpeta District of Assam under Assam Integrated River Basin Management Project AIRBMP],20-Aug-2025 12:00 PM,Assam State Disaster Management Authority- Externally Aided Project||Assam State Disaster Management Authority- World Bank Funded Tenders||Assam Integrated River Basin Management Programme,04-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SbHjhEaEh8z4KkqNUVVMqug%3D%3D
55,2025_AEGCL_46805_1,[Installation of Live-Line 24F (DWSM) OPGW on existing 132KV Baghjhap HPC line to connect the Upcoming 132KV/33KV TSAT substation with existing 132KV Baghjhap GSS by replacing the existing Ground wire with 24F OPGW],22-Aug-2025 12:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),03-Oct-2025 10:00 AM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvUw1niMxQyTRN6TgK0AVgA%3D%3D
56,2025_TDA_47759_1,[Long Term Leasing out of existing Inland Water Commercial Vessel DLB KEDAR],29-Sep-2025 09:00 AM,Transport Department||Assam Inland Waterways Company Limited,17-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMBL9vlujyjqoyGSy9NJ%2FIA%3D%3D
