Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
149,2025_PWHE_47057_1,14,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Sonitpur DTBD for i. North Jamuguri H.S. ii. Alimabad ME School],28-Aug-2025 02:00 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoivPQaXEfaOH6Zqw6GgEZQ%3D%3D
150,2025_PWHE_47056_1,14,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Dhemaji (ST) DTBD for i. Bordandi Bodo School, Bardoni ii. Nirupama Hagzer Bodo ME School. iii. Pitem Doley MES iv. Rayang Tribal MES]",28-Aug-2025 02:00 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoI5lyxsp40i%2BZUEelTUfBQ%3D%3D
151,2025_PWHE_47054_1,15,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Dhemaji (ST)DTBD for i. Rawon Kumoliya Mishing High School ii. K.K. Patir High School iii. Naharbari Novodoya MES iv. J.N. Chille tribal MES],28-Aug-2025 02:00 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SQkpNqK9BN5o5s7rFMi6UUw%3D%3D
152,2025_PWHE_47053_1,15,[Construction of Additional Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) Under Dhemaji (ST) DTBD for i. Somkong H.S. ii. Bijoypur High School iii. Karpumpuli High School iv. Telam Tribal H.S.],28-Aug-2025 02:00 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNE1C%2BjbvQMBvw6J4juBmqQ%3D%3D
153,2025_NHM_47034_1,15,[FOR ENGAGEMENT OF SUPER SPECIALTY HOSPITAL FOR CARRYING  OUT BONE MARROW TRANSPLANT IN CHILDREN BELOW THE AGE  OF 14 YEARS],28-Aug-2025 09:00 AM,National Health Mission||State Programme Management Unit - NHM,07-Oct-2025 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHKawp%2FpIRpqx17Sm2T1Gjw%3D%3D
154,2025_DOT_47014_1,15,"[Development, Operation and Management Contract for running the Prashaanti Tourist Lodge, Sarthebari]",27-Aug-2025 01:30 PM,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,04-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrZx1rJuYhQPhqBFPKEg6eQ%3D%3D
155,2025_PWHE_46997_1,15,"[Expansion and modernization of Guwahati Medical College And Hospital, Guwahati, Assam]",26-Aug-2025 06:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-ADB,08-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SieG1Cg6vDpPaPR7u2g8pug%3D%3D
156,2025_HFWD_46595_1,15,"[Supply, Installation and Commissioning of 4 Nos. of  CT Machine for TMCH, LMCH, SMCH and JMCH in Assam]",22-Aug-2025 06:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD,06-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYt1BxwP5E55mJjpIHxftmQ%3D%3D
157,2025_AEGCL_46805_1,15,[Installation of Live-Line 24F (DWSM) OPGW on existing 132KV Baghjhap HPC line to connect the Upcoming 132KV/33KV TSAT substation with existing 132KV Baghjhap GSS by replacing the existing Ground wire with 24F OPGW],22-Aug-2025 12:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),03-Oct-2025 10:00 AM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvUw1niMxQyTRN6TgK0AVgA%3D%3D
158,2025_DOT_46793_1,15,"[Development, Operation and Management Contract for running the Tourist Complex at Silapathar, Dhemaji District, Assam]",22-Aug-2025 11:00 AM,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,04-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1RGarcX1okzg6G7iHdj6fg%3D%3D
159,2025_DOT_46792_1,15,"[Development, Operation and Management Contract for running the Prashaanti Tourist Complex at Jonai]",22-Aug-2025 11:00 AM,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,04-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaGhIngXB%2FAohNTVUfN99sA%3D%3D
160,2025_DMEAP_46593_1,15,[Consulting Services for Supply Configuration and Commissioning of Integrated Emergency Management System IEMS for Assam State under Assam Integrated River Basin Management Program AIRBMP],21-Aug-2025 11:30 AM,Assam State Disaster Management Authority- Externally Aided Project||Assam State Disaster Management Authority- World Bank Funded Tenders||Assam Integrated River Basin Management Programme,07-Oct-2025 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLQwqlFCteAFfY2nOVMA9Eg%3D%3D
161,2025_DMEAP_46703_1,16,[Procurement of Civil Works for Retrofitting Augmentation of 2 existing schools in Golaghat District of Assam under Assam Integrated River Basin Management Project AIRBMP],20-Aug-2025 01:00 PM,Assam State Disaster Management Authority- Externally Aided Project||Assam State Disaster Management Authority- World Bank Funded Tenders||Assam Integrated River Basin Management Programme,04-Oct-2025 12:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHKAIk8W886SH8Lc%2FA7LGEw%3D%3D
