Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
84,2025_DF_24358_1,"[Setting up of Multispecies Marine Fish Hatchery, on PPP  basis]",26-Aug-2025 09:00 AM,Directorate of Fisheries||Aquaculture Section,23-Oct-2025 05:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaAiEY5x%2B9JuJesDaTAFLVQ%3D%3D
85,2025_PWD_24771_1,"[Triennial comprehensive maintenance contract for Cummins make 160 KVA D.G set installed at the official bungalow of Honble Chief Minister at Altinho, Panaji-Goa .]",24-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDzkqPV4oFEix0oQS39j1vw%3D%3D
86,2025_GTDCL_24785_1,[TENDER FOR PROVIDING PEST CONTROL SERVICES AT GTDC RESIDENCIES],25-Sep-2025 06:45 PM,Goa Tourism Development Corporation Limited||HEAD OFFICE||Marketing,01-Oct-2025 03:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDDk6rjLFiuJsjlHyBhv%2BXQ%3D%3D
87,2025_WRD_24783_1,[Strengthening of upstream side of super passage at Ch. 3.880 Km on LBMC of AIP at village Keri in Sattari Taluka. (2nd Call).],25-Sep-2025 02:00 PM,WATER RESOURCE DEPARTMENT||CIRCLE III||DIVISION - V,06-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQ5evV0LqOO7bRZtNYF%2FuNQ%3D%3D
88,2025_DRD_24743_1,[Repair and Construction of footsteps at Salgini in V.P. Netravali in Sanguem constituency],23-Sep-2025 04:00 PM,Department of Rural Development||District Rural Development Agency (South)||Engineering Wing,07-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5El1TE7oJX%2Fct9W765dtAQ%3D%3D
89,2025_GIDCo_24503_1,[Request for proposal for Selection of Service Provider for Solid Waste Management in Verna Industrial Estate Cluster under Goa Industrial Development Corporation (Goa-IDC).],11-Sep-2025 10:00 AM,Goa Industrial Development Corporation||Engineering Section,03-Oct-2025 05:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXR%2Be4FVIk6Q5B3Irt0iDkA%3D%3D
90,2025_RCCA_24791_1,[Security Services],26-Sep-2025 02:15 PM,ROSARY COLLEGE OF COMMERCE AND ARTS,13-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sj3pu1ZHJnL23mj1fGlR7LA%3D%3D
91,2025_ZP_24688_1,"[Beautification surrounding Nossa Senhora De Piedade Chapel at Godihno ward  Calata, Majorda in V.P. Majorda Utorda Calata of Colva Constituency Re-tender]",22-Sep-2025 12:30 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFKJR8ZBd6gXFG037iYPeNw%3D%3D
92,2025_MC_24559_1,[Improvement of road widenig area by laying pavers chequered tiles and plastering near Market junction wel  opposite well no entry board Outside Kadamba Bus stand Near Vinay Pangam House near Chimulkar Building  and improvement and reconstruc],17-Sep-2025 09:00 AM,MUNICIPAL COUNCILS||District North Goa||Sankhali Municipal Council||Technical  Section,02-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5d0T41Bq%2FDfJ7jXkK%2FQfXg%3D%3D
93,2025_ZP_24483_1,[Improvement of community hall at Badsarem in V.P. Gaondongrem in Poinguinim Constituency],09-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SiOvyaQFQiwlUzurjkbDZsQ%3D%3D
94,2025_PWD_24744_1,[Supply Installation testing and Commissioning of all in one video conference system at Goa Public Service Commission Panaji],23-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=So8L3zWnsud%2BX5wbjpGsJbw%3D%3D
95,2025_ZP_24804_1,[Supply of Sports Materials to South Goa Zilla Panchayat],26-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvEaWHh6hsK1VEx7QIdIXpA%3D%3D
96,2025_ZP_24802_1,[Supply of Power Tiller to South Goa Zilla Panchayat ],26-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrqZmyvR94WPo%2FnJ6iRmxNg%3D%3D
97,2025_DITC_24250_1,[RFP documents for Industrial Waste Disposal Plant],18-Aug-2025 05:45 PM,DIRECTORATE OF INDUSTRIES TRADE AND COMMERCE||REGISTRATION SECTION,04-Oct-2025 05:30 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sis4s9UGpKOe0gWYTS2ndTw%3D%3D
98,2025_WRD_24445_1,[Improvement to the existing sluice gate and existing nallah in V.P. Nadora in Tivim Constituency.],08-Sep-2025 05:30 PM,WATER RESOURCE DEPARTMENT||CIRCLE I||DIVISION - I,29-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SN8h7afXCAFnhKi%2F2o19R%2Fg%3D%3D
99,2025_ZP_24801_1,[Supply of Wheel Chairs folding model to South Goa Zilla Panchayat ],26-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgfsOA%2B7wORVGRldNACJgfA%3D%3D
100,2025_PWD_24705_1,"[Providing Airconditioning for the various court halls in District Court A,B,C,D,E,F and G at Mapusa Court Building and Judges cabin and Court hall in Fast Track Court at Tar Building at Mapusa Bardez Goa.]",23-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXDceEFI30R25nVSQQCWuvQ%3D%3D
101,2025_PWD_24723_1,[Urgent replacement of existing faulty Aluminum Armored cable 4x16 sq.mm from the electrical DB to bore well pump DB along with additional lighting accessories at Government college Sankhlim in Sankhlim constituency.],23-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuWwhIWQD38aBs%2BO9toiOZw%3D%3D
102,2025_ESG_24671_1,"[ Appointment of Vendor for the Work of Designing and Supply of Tote Bags, Merchandise, Mementos,Lanyard and Souvenirs for the 56th International Film Festival of India, 2025]",19-Sep-2025 06:00 PM,ENTERTAINMENT SOCIETY OF GOA||EVENTS,03-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAhovrQYt6VAZZGx2jldQZQ%3D%3D
103,2025_WRD_24379_1,[Selection of Consultant for providing Consultancy and Transaction Advisory Services for Coastal Erosion Mitigation Works at critical and vulnerable locations along the Goa coastline ],30-Aug-2025 11:00 AM,WATER RESOURCE DEPARTMENT||CIRCLE V||DIVISION - III,03-Oct-2025 04:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXKCNIZPV%2F3D%2BKVV0VAzRig%3D%3D
104,2025_MC_24562_1,[Improvement and beautification at various places at virdi by errecting shed  RCC Slab  laying pavers and drainage repair in ward no11 within the jurisdiction of the Sankhali Municipal Council],17-Sep-2025 09:00 AM,MUNICIPAL COUNCILS||District North Goa||Sankhali Municipal Council||Technical  Section,02-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUT38w%2BfitROBLyshBYpOFg%3D%3D
105,2025_PWD_24736_1,[Maintenance of Water Supply Scheme in Tivim Constituency in Bardez Taluka - Replacement of 250mm dia. and 300mm dia. Sluice Valves on conveying 300mm dia. DI main pipeline near Railway Bridge at Khargali in Tivim Constituency.],23-Sep-2025 04:00 PM,"PUBLIC WORKS DEPARTMENT||CIRCLE - V-Panaji||DIVISION - XVII, Porvorim",30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeQ4zzB%2F%2Bvw45d3wfE%2FD%2FOA%3D%3D
106,2025_MC_24444_1,[ Beautification work near Damodar Temple at Housing Board at Gogol in Ward No. 24 of Margao Municipal Council.],08-Sep-2025 04:00 PM,MUNICIPAL COUNCILS||District South Goa||Margao Municipal Council||Technical  Section,01-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SD8wNu3wQaX5UPy1nybqiDg%3D%3D
