Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
38,2025_LSGD_803567_3,[KADAKULAM-KAMBROONITHARISU ROAD CONCRETING-WARD-4-General Civil Work],29-Sep-2025 09:00 AM,Local Self Government Department||Thiruvananthapuram||Grama Panchayath Section office TVM||Office of the AE Kulathoor Grama Panchayath,08-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOSHCz4%2Fv3oBvdUa5FsvPhg%3D%3D
39,2025_LSGD_781167_9,[RE- E TENDER  332/2025-26-KOOTHINETHUPADI PATHALUKUTHI ROAD MAINTENANCE IN WARD 04],25-Sep-2025 10:00 AM,Local Self Government Department||Pathanamthitta||Grama Panchayath Section Office PTHTA||Office of the AE Konni Grama Panchayath,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StlrHbNcOMqI67Fv4OmDhLg%3D%3D
40,2025_PWD_800297_1,[GENERAL-ANCHARAKANDY FIRE ACADEMY-POST GRADUATE AND RESEARCH CENTRE IN FIRE AND SAFETY SCIENCE UNDER KERALA FIRE AND RESCUE SERVICES DEPARTMENT AT MUZHAPPALA - CONSTRUCTION OF ACCADEMIC BLOCK- PHASE 1-Composite Work],22-Sep-2025 02:00 PM,PWD||Chief Engineer (Buildings)||SE Bldgs (JDL),06-Oct-2025 11:00 AM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sk54HkbOcqXsJsk%2FGof3oOA%3D%3D
41,2025_LSGD_798509_7,"[CMLRRP-CMLRRP.2-2024-25, Eravipuram LAC SL.NO 1213,Vellamanal Milmasociety Road Renovation ward 15, Mayyanad GP, Kollam District-General Civil Work]",19-Sep-2025 10:00 AM,Local Self Government Department||Kollam||Grama Panchayath Section Office KLM||Office of the AE Mayyanad Grama Panchayath,04-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SieuuBjX80WQ3TvD50M9h%2BQ%3D%3D
42,2025_LSGD_802478_10,[385. Tharayamkandam Valiyaparambu road in Moonniyur GP],26-Sep-2025 06:00 PM,Local Self Government Department||Malappuram||Grama Panchayath Section Office Malappuram||Office of the AE Moonniyoor Grama Panchayath,04-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8v95kvPnsTNe8T6FjHukWA%3D%3D
43,2025_LSGD_800638_12,[CMLRRP2-2024-25 NTA LAC -3923-Nellimood Kuttithanni road in Athiyannoor GP -Special Condition 4 months],22-Sep-2025 05:00 PM,Local Self Government Department||Thiruvananthapuram||Grama Panchayath Section office TVM||Office of the AE Athiyannoor Grama Panchayath,29-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUQsvBcOr9NFQMwovENaBng%3D%3D
44,2025_LSGD_800938_20,[Annual Plan-Perumanna Klari GP-Project no 141/25-26 A M L P School mullamada road maintenance -General Civil Work],24-Sep-2025 11:00 AM,Local Self Government Department||Malappuram||Grama Panchayath Section Office Malappuram||Office of the AE Perumannaklari Grama Panchayath,04-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJi1z0tafeGN5yhT3KwWzXg%3D%3D
45,2025_LSGD_800698_4,[Pappinisseri GP Proj No 104/2025 Moulana Hasrath Road Concrete],23-Sep-2025 06:00 PM,Local Self Government Department||Kannur||Grama Panchayath Section Office Kannur||Office of the AE Pappinisseri Grama Panchayath,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sa0CXkEWu8h5BcJsGGV2%2BWQ%3D%3D
46,2025_LSGD_800015_1,[137/25-26-Construction of drainage for Erumappetti -Kaduvakuzhi ward-13],22-Sep-2025 10:00 AM,Local Self Government Department||Kottayam||Grama Panchayath Section Office KTYM||Office of the AE Manarkadu Grama Panchayath,30-Sep-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S92J3RCcg6%2Bu48sDVBEau5A%3D%3D
47,2025_LSGD_793248_11,[CHENNAM PALLIPPURAM GP/PROJECT NO.276/2025-2026/- VAZHATHARA CHETHIKKAD ROAD RENNOVATION 2ND PHASE(RETENDER)],22-Sep-2025 10:00 AM,Local Self Government Department||Alappuzha||Grama Panchayath Section Office ALP||Office of the AE Chennam Pallippuram Grama Panchay,29-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7LrHG7Gn%2FwLo6rQviHre4A%3D%3D
